              mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
R            0.665  0.014   0.640    0.692      0.000      0.0    4415.0    4403.0    1.0
mu           0.951  0.027   0.904    0.996      0.000      0.0    4010.0    3137.0    1.0
Sigma[0, 0] -0.991  0.003  -0.995   -0.986      0.000      0.0    2110.0    3441.0    1.0
Sigma[0, 1]  0.087  0.009   0.070    0.104      0.000      0.0    3053.0    4732.0    1.0
Sigma[0, 2]  0.086  0.022   0.046    0.130      0.001      0.0    1803.0    2461.0    1.0
Sigma[1, 0]  0.087  0.009   0.070    0.104      0.000      0.0    3053.0    4732.0    1.0
Sigma[1, 1]  0.985  0.003   0.979    0.990      0.000      0.0    3574.0    2628.0    1.0
Sigma[1, 2]  0.081  0.011   0.061    0.102      0.000      0.0    3326.0    2515.0    1.0
Sigma[2, 0]  0.086  0.022   0.046    0.130      0.001      0.0    1803.0    2461.0    1.0
Sigma[2, 1]  0.081  0.011   0.061    0.102      0.000      0.0    3326.0    2515.0    1.0
Sigma[2, 2]  0.336  0.027   0.287    0.388      0.000      0.0    4270.0    4415.0    1.0
