event_id,date,time_utc,datetime_utc,lat,lon,depth,moment_tensor_depth,strike1,dip1,rake1,strike2,dip2,rake2,n_fault_planes,ma,md,ml,mw,scalar_moment,mt_exponent,mt_mrr,mt_mtt,mt_mpp,mt_mrt,mt_mrp,mt_mtp,mt_1,mt_2,mt_3,mt_4,mt_5,mt_6
21127030,2000-09-26,07:20:29.590000,2000-09-26T07:20:29.590000Z,38.66,-119.55,5.53,8.0,146.0,78.0,-134.0,45.0,45.0,-16.0,2,4.94,4.36,,4.4,5.87771e+22,22,-1.8873,-3.3772,5.2645,-2.0232,3.1609,0.42542,-1.8873,-3.3772,5.2645,-2.0232,3.1609,0.42542
21134837,2000-11-19,12:54:50.880000,2000-11-19T12:54:50.880000Z,40.44,-119.55,4.35,5.0,183.0,53.0,-122.0,49.0,47.0,-55.0,2,4.19,3.93,,4.0,1.30037e+22,22,-1.0225,-0.02684,1.0493,-0.30132,0.29502,0.67915,-1.0225,-0.02684,1.0493,-0.30132,0.29502,0.67915
21136858,2000-12-02,15:34:16.320000,2000-12-02T15:34:16.320000Z,39.36,-120.47,4.84,14.0,249.0,81.0,-31.0,345.0,59.0,-170.0,2,4.78,4.46,,4.4,5.53365e+22,22,-0.91092,-2.3108,3.2217,2.8072,0.30542,3.7913,-0.91092,-2.3108,3.2217,2.8072,0.30542,3.7913
21137862,2000-12-08,07:41:11.460000,2000-12-08T07:41:11.460000Z,38.78,-122.77,3.46,3.5,334.0,79.0,-150.0,238.0,61.0,-13.0,2,3.96,4.06,4.15,4.37,4.482e+22,22,-1.6935,-2.6899,4.3834,0.61865,-1.6295,1.9835,-1.6935,-2.6899,4.3834,0.61865,-1.6295,1.9835
21139816,2000-12-20,22:55:51.820000,2000-12-20T22:55:51.820000Z,40.99,-121.69,13.84,5.0,180.0,62.0,-53.0,302.0,45.0,-138.0,2,3.93,3.78,3.75,3.9,7.57496e+21,21,-4.889,-0.9779,5.8669,0.7816,2.8121,-4.7745,-4.889,-0.9779,5.8669,0.7816,2.8121,-4.7745
21139817,2000-12-20,22:59:38.520000,2000-12-20T22:59:38.520000Z,40.98,-121.69,16.31,5.0,190.0,61.0,-57.0,317.0,43.0,-134.0,2,3.87,3.75,3.77,3.7,4.83337e+21,21,-3.4277,-0.7664,4.1941,1.5384,1.8891,-1.5737,-3.4277,-0.7664,4.1941,1.5384,1.8891,-1.5737
21139826,2000-12-20,23:22:54.400000,2000-12-20T23:22:54.400000Z,40.99,-121.69,18.23,5.0,175.0,57.0,-70.0,322.0,37.0,-118.0,2,4.21,4.24,4.26,4.3,4.15011e+22,22,-3.2864,-0.30257,3.589,0.33219,1.6321,-1.707,-3.2864,-0.30257,3.589,0.33219,1.6321,-1.707
21139833,2000-12-20,23:39:14.800000,2000-12-20T23:39:14.800000Z,40.99,-121.69,17.11,5.0,171.0,55.0,-63.0,309.0,43.0,-123.0,2,4.5,4.38,4.62,4.4,4.94266e+22,22,-4.0085,0.48439,3.5241,0.81371,1.649,-2.6093,-4.0085,0.48439,3.5241,0.81371,1.649,-2.6093
21140955,2000-12-27,13:15:11.220000,2000-12-27T13:15:11.220000Z,40.47,-124.46,28.03,33.0,229.0,87.0,46.0,136.0,44.0,176.0,2,3.87,4.02,3.96,4.1,1.47449e+22,22,0.1047,-1.0761,0.97144,-0.73743,-0.75286,0.08916,0.1047,-1.0761,0.97144,-0.73743,-0.75286,0.08916
21143130,2001-01-11,18:10:40.840000,2001-01-11T18:10:40.840000Z,40.63,-124.17,22.0,24.0,306.0,87.0,-155.0,215.0,65.0,-3.0,2,4.02,3.82,3.95,4.2,2.20741e+22,22,-0.55572,-1.6183,2.174,0.54831,-0.73192,-0.71483,-0.55572,-1.6183,2.174,0.54831,-0.73192,-0.71483
21143281,2001-01-13,13:08:42.100000,2001-01-13T13:08:42.100000Z,40.76,-125.24,2.24,14.0,216.0,89.0,15.0,126.0,75.0,179.0,2,5.11,4.73,5.19,5.4,1.40219e+24,24,0.1664,-1.3719,1.2055,-0.24166,-0.26347,-0.42274,0.1664,-1.3719,1.2055,-0.24166,-0.26347,-0.42274
21145960,2001-02-02,23:03:11.620000,2001-02-02T23:03:11.620000Z,39.73,-122.83,6.08,5.0,10.0,48.0,-92.0,193.0,42.0,-88.0,2,3.88,4.03,3.96,4.2,2.493e+22,22,-2.531,0.19063,2.3404,0.02815,-0.23032,0.45726,-2.531,0.19063,2.3404,0.02815,-0.23032,0.45726
